filename,url,Dust and Haze,Floods,Manmade,Sea and Lake Ice,Severe Storms,Snow,Temperature Extremes,Volcanoes,Water Color,Wildfires
28,https://eoimages.gsfc.nasa.gov/images/imagerecords/92000/92786/trenton_oli_2018262_th.jpg,0,0,0,0,1,0,0,0,0,0
29,https://eoimages.gsfc.nasa.gov/images/imagerecords/92000/92775/florence_aria_2018257_th.jpg,0,0,0,0,1,0,0,0,0,0
30,https://eoimages.gsfc.nasa.gov/images/imagerecords/92000/92757/atlantic_geos5_2018257_th.png,0,0,0,0,1,0,0,0,0,0
31,https://eoimages.gsfc.nasa.gov/images/imagerecords/92000/92751/florence_amo_2018254_th.jpg,0,0,0,0,1,0,0,0,0,0
32,https://eoimages.gsfc.nasa.gov/images/imagerecords/92000/92739/atlantic_crw_2018254_th.png,0,0,0,0,1,0,0,0,0,0
33,https://eoimages.gsfc.nasa.gov/images/imagerecords/92000/92744/epic_1b_20180911162056_th.jpg,0,0,0,0,1,0,0,0,0,0
34,https://eoimages.gsfc.nasa.gov/images/imagerecords/92000/92732/atlantic_vir_2018252_th.jpg,0,0,0,0,1,0,0,0,0,0
35,https://disasters.nasa.gov/sites/disasters.nasa.gov/files/styles/image_left_right/public/disaster-images/Dm6f1pYX0AM1-aI.jpg?itok=HbiNuwkg,0,0,0,0,1,0,0,0,0,0
36,https://eoimages.gsfc.nasa.gov/images/imagerecords/92000/92710/typhoonjebi_tmo_2018248.jpg,0,0,0,0,1,0,0,0,0,0
37,https://eoimages.gsfc.nasa.gov/images/imagerecords/84000/84494/phanfone_tmo_2014276_tn.jpg,0,0,0,0,1,0,0,0,0,0
38,https://eoimages.gsfc.nasa.gov/images/imagerecords/79000/79291/jelawat_tmo_2012272_tn.jpg,0,0,0,0,1,0,0,0,0,0
39,https://eoimages.gsfc.nasa.gov/images/imagerecords/84000/84142/halong_amo_2014218_tn.jpg,0,0,0,0,1,0,0,0,0,0
40,https://eoimages.gsfc.nasa.gov/images/imagerecords/84000/84510/phanfone_amo_2014278_tn.jpg,0,0,0,0,1,0,0,0,0,0
41,https://eoimages.gsfc.nasa.gov/images/imagerecords/10000/10047/phanfone.TMO2002229_tn.jpg,0,0,0,0,1,0,0,0,0,0
42,https://eoimages.gsfc.nasa.gov/images/imagerecords/92000/92800/utahfire_amo_2018262.jpg,0,0,0,0,0,0,0,0,0,1
43,https://eoimages.gsfc.nasa.gov/images/imagerecords/92000/92343/pawnee_oli_2018175_th.jpg,0,0,0,0,0,0,0,0,0,1
44,https://eoimages.gsfc.nasa.gov/images/imagerecords/92000/92373/california_vir_2018182_th.jpg,0,0,0,0,0,0,0,0,0,1
45,https://eoimages.gsfc.nasa.gov/images/imagerecords/92000/92514/perry_oli_2018210_th.jpg,0,0,0,0,0,0,0,0,0,1
46,https://eoimages.gsfc.nasa.gov/images/imagerecords/92000/92517/californiafires_amo_tmo_2018209_2018210_th.jpg,0,0,0,0,0,0,0,0,0,1
47,https://eoimages.gsfc.nasa.gov/images/imagerecords/5000/5617/Arizona.A2005174.1850_tn.jpg,0,0,0,0,0,0,0,0,0,1
48,https://eoimages.gsfc.nasa.gov/images/imagerecords/50000/50952/Arizona_tmo_2011160_tn.jpg,0,0,0,0,0,0,0,0,0,1
49,https://eoimages.gsfc.nasa.gov/images/imagerecords/18000/18744/Idaho_amo_tmo_2007200_tn.jpg,0,0,0,0,0,0,0,0,0,1
50,https://eoimages.gsfc.nasa.gov/images/imagerecords/15000/15054/Arizona.AMOA2005179_tn.jpg,0,0,0,0,0,0,0,0,0,1
51,https://eoimages.gsfc.nasa.gov/images/imagerecords/92000/92343/pawnee_oli_2018175_th.jpg,0,0,0,0,0,0,0,0,0,1
52,https://eoimages.gsfc.nasa.gov/images/imagerecords/92000/92669/kerala_msi_oli_2018234_th.jpg,0,1,0,0,0,0,0,0,0,0
53,https://eoimages.gsfc.nasa.gov/images/imagerecords/92000/92638/india_mrg_2018230_th.png,0,1,0,0,0,0,0,0,0,0
54,https://eoimages.gsfc.nasa.gov/images/imagerecords/92000/92649/hurrlane_tmo_2018233.jpg,0,0,0,0,1,0,0,0,0,0
55,https://eoimages.gsfc.nasa.gov/images/imagerecords/92000/92649/hawaii_crw_2018233.png,0,0,0,0,1,0,0,0,0,0
56,https://eoimages.gsfc.nasa.gov/images/imagerecords/92000/92638/india_mrg_2018230_th.png,0,0,0,0,1,0,0,0,0,0
57,https://eoimages.gsfc.nasa.gov/images/imagerecords/92000/92654/atmosphere_geo5_2018235_th.png,0,0,0,0,1,0,0,0,0,0
58,https://eoimages.gsfc.nasa.gov/images/imagerecords/92000/92577/hurrhector_viirs_2018218_th.jpg,0,0,0,0,1,0,0,0,0,0
59,https://eoimages.gsfc.nasa.gov/images/imagerecords/92000/92649/hurrlane_tmo_2018233_th.jpg,0,0,0,0,1,0,0,0,0,0
60,https://eoimages.gsfc.nasa.gov/images/imagerecords/86000/86391/Hilda_tmo_2015220_tn.jpg,0,0,0,0,1,0,0,0,0,0
61,https://eoimages.gsfc.nasa.gov/images/imagerecords/88000/88662/lestermadeline_vir_2016242_tn.jpg,0,0,0,0,1,0,0,0,0,0
62,https://eoimages.gsfc.nasa.gov/images/imagerecords/87000/87314/Pali_tmo_2016011_tn.jpg,0,0,0,0,1,0,0,0,0,0
63,https://eoimages.gsfc.nasa.gov/images/imagerecords/83000/83863/cristina_tmo_2014163_tn.jpg,0,0,0,0,1,0,0,0,0,0
64,https://eoimages.gsfc.nasa.gov/images/imagerecords/88000/88684/lester_amo_2016245_th.jpg,0,0,0,0,1,0,0,0,0,0
65,https://disasters.nasa.gov/sites/disasters.nasa.gov/files/styles/image_center/public/disaster-images/hurrlane_tmo_2018233.jpg?itok=9jf8EgG-,0,0,0,0,1,0,0,0,0,0
66,https://eoimages.gsfc.nasa.gov/images/imagerecords/92000/92617/lesothosnow_tmo_2018223.jpg,0,0,0,0,0,1,0,0,0,0
67,https://eoimages.gsfc.nasa.gov/images/imagerecords/92000/92617/lesothosnow_tmo_2018218.jpg,0,0,0,0,0,1,0,0,0,0
68,https://eoimages.gsfc.nasa.gov/images/imagerecords/92000/92617/lesothosnow_tmo_2018223.jpg,0,0,0,0,0,1,0,0,0,0
69,https://eoimages.gsfc.nasa.gov/images/imagerecords/92000/92617/lesothosnow_tmo_2018218.jpg,0,0,0,0,0,1,0,0,0,0
70,https://eoimages.gsfc.nasa.gov/images/imagerecords/92000/92612/northamsmoke_viirs_2018227_th.jpg,0,0,0,0,0,1,0,0,0,0
71,https://eoimages.gsfc.nasa.gov/images/imagerecords/92000/92622/ISS056-E-77502_th.jpg,0,0,0,0,0,1,0,0,0,0
72,https://eoimages.gsfc.nasa.gov/images/imagerecords/13000/13295/aqua_safrica_09jun04_tn.jpg,0,0,0,0,0,1,0,0,0,0
73,https://eoimages.gsfc.nasa.gov/images/imagerecords/88000/88509/lesotho_tmo_2016215_tn.jpg,0,0,0,0,0,1,0,0,0,0
74,https://eoimages.gsfc.nasa.gov/images/imagerecords/13000/13621/SouthAfrica_AMO_2004211_tn.jpg,0,0,0,0,0,1,0,0,0,0
75,https://eoimages.gsfc.nasa.gov/images/imagerecords/77000/77530/namericasnow_tmo_win2012_tn.jpg,0,0,0,0,0,1,0,0,0,0
76,https://eoimages.gsfc.nasa.gov/images/imagerecords/37000/37308/snow_TMO_200902_tn.jpg,0,0,0,0,0,1,0,0,0,0
77,https://eoimages.gsfc.nasa.gov/images/imagerecords/92000/92573/typhshanshan_viirs_2018219.jpg,0,0,0,0,1,0,0,0,0,0
78,https://eoimages.gsfc.nasa.gov/images/imagerecords/92000/92573/typhshanshan_viirs_2018219_th.jpg,0,0,0,0,1,0,0,0,0,0
79,https://eoimages.gsfc.nasa.gov/images/imagerecords/92000/92628/Soulik_tmo_2018232_tn.jpg,0,0,0,0,1,0,0,0,0,0
80,https://eoimages.gsfc.nasa.gov/images/imagerecords/92000/92811/Trami_viirs_2018267_tn.jpg,0,0,0,0,1,0,0,0,0,0
81,https://eoimages.gsfc.nasa.gov/images/imagerecords/92000/92824/trami_amo_2018271_th.jpg,0,0,0,0,1,0,0,0,0,0
82,https://eoimages.gsfc.nasa.gov/images/imagerecords/92000/92511/typhoonjongdari_viirs_2018208_th.jpg,0,0,0,0,1,0,0,0,0,0
83,https://eoimages.gsfc.nasa.gov/images/imagerecords/84000/84525/Vongfong_amo_2014282_tn.jpg,0,0,0,0,1,0,0,0,0,0
84,https://eoimages.gsfc.nasa.gov/images/imagerecords/88000/88616/mindullelionrock_vir_2016235_tn.jpg,0,0,0,0,1,0,0,0,0,0
85,https://eoimages.gsfc.nasa.gov/images/imagerecords/52000/52224/Roke_amo_2011263_tn.jpg,0,0,0,0,1,0,0,0,0,0
86,https://eoimages.gsfc.nasa.gov/images/imagerecords/88000/88652/lionrock_vir_2016241_tn.jpg,0,0,0,0,1,0,0,0,0,0
87,https://eoimages.gsfc.nasa.gov/images/imagerecords/92000/92577/hurrhector_viirs_2018218.jpg,0,0,0,0,1,0,0,0,0,0
88,https://eoimages.gsfc.nasa.gov/images/imagerecords/92000/92577/hurrhector_viirs_2018218_th.jpg,0,0,0,0,1,0,0,0,0,0
89,https://eoimages.gsfc.nasa.gov/images/imagerecords/92000/92649/hurrlane_tmo_2018233_th.jpg,0,0,0,0,1,0,0,0,0,0
90,https://eoimages.gsfc.nasa.gov/images/imagerecords/92000/92417/Chris_vir_2018191_tn.jpg,0,0,0,0,1,0,0,0,0,0
91,https://eoimages.gsfc.nasa.gov/images/imagerecords/17000/17009/Daniel_AMO_2006202_tn.jpg,0,0,0,0,1,0,0,0,0,0
92,https://eoimages.gsfc.nasa.gov/images/imagerecords/18000/18730/cosme_tmo_2007197_tn.jpg,0,0,0,0,1,0,0,0,0,0
93,https://eoimages.gsfc.nasa.gov/images/imagerecords/86000/86391/Hilda_tmo_2015220_tn.jpg,0,0,0,0,1,0,0,0,0,0
94,https://eoimages.gsfc.nasa.gov/images/imagerecords/88000/88662/lestermadeline_vir_2016242_tn.jpg,0,0,0,0,1,0,0,0,0,0
95,https://eoimages.gsfc.nasa.gov/images/imagerecords/92000/92678/mendocino_oli_2018239.jpg,0,0,0,0,0,0,0,0,0,1
96,https://eoimages.gsfc.nasa.gov/images/imagerecords/92000/92678/mendocino_complex_v01_48-22-12.jpg,0,0,0,0,0,0,0,0,0,1
97,https://eoimages.gsfc.nasa.gov/images/imagerecords/92000/92682/aurora_viirs_2018238_th.jpg,0,0,0,0,0,0,0,0,0,1
98,https://eoimages.gsfc.nasa.gov/images/imagerecords/92000/92689/vredefort_oli_2018178_th.jpg,0,0,0,0,0,0,0,0,0,1
99,https://eoimages.gsfc.nasa.gov/images/imagerecords/92000/92343/pawnee_oli_2018175_th.jpg,0,0,0,0,0,0,0,0,0,1
100,https://eoimages.gsfc.nasa.gov/images/imagerecords/92000/92373/california_vir_2018182_th.jpg,0,0,0,0,0,0,0,0,0,1
101,https://eoimages.gsfc.nasa.gov/images/imagerecords/92000/92514/perry_oli_2018210_th.jpg,0,0,0,0,0,0,0,0,0,1
102,https://eoimages.gsfc.nasa.gov/images/imagerecords/92000/92517/californiafires_amo_tmo_2018209_2018210_th.jpg,0,0,0,0,0,0,0,0,0,1
103,https://eoimages.gsfc.nasa.gov/images/imagerecords/86000/86194/lakefire_ali_2015184_tn.jpg,0,0,0,0,0,0,0,0,0,1
104,https://eoimages.gsfc.nasa.gov/images/imagerecords/92000/92343/pawnee_oli_2018175_th.jpg,0,0,0,0,0,0,0,0,0,1
105,https://eoimages.gsfc.nasa.gov/images/imagerecords/79000/79105/chipsfire_ali_2012245_tn.jpg,0,0,0,0,0,0,0,0,0,1
106,https://eoimages.gsfc.nasa.gov/images/imagerecords/91000/91466/ventura_oli_2017352_th.jpg,0,0,0,0,0,0,0,0,0,1
107,https://eoimages.gsfc.nasa.gov/images/imagerecords/86000/86366/california_amo_2015217_tn.jpg,0,0,0,0,0,0,0,0,0,1
108,https://eoimages.gsfc.nasa.gov/images/imagerecords/92000/92514/perry_oli_2018210.jpg,0,0,0,0,0,0,0,0,0,1
109,https://eoimages.gsfc.nasa.gov/images/imagerecords/92000/92514/perry_oli_2018210_night.jpg,0,0,0,0,0,0,0,0,0,1
110,https://eoimages.gsfc.nasa.gov/images/imagerecords/92000/92514/perry_oli_2018210.jpg,0,0,0,0,0,0,0,0,0,1
111,https://eoimages.gsfc.nasa.gov/images/imagerecords/92000/92514/perry_oli_2018210_night.jpg,0,0,0,0,0,0,0,0,0,1
112,https://eoimages.gsfc.nasa.gov/images/imagerecords/92000/92343/pawnee_oli_2018175_th.jpg,0,0,0,0,0,0,0,0,0,1
113,https://eoimages.gsfc.nasa.gov/images/imagerecords/92000/92373/california_vir_2018182_th.jpg,0,0,0,0,0,0,0,0,0,1
114,https://eoimages.gsfc.nasa.gov/images/imagerecords/92000/92514/perry_oli_2018210_th.jpg,0,0,0,0,0,0,0,0,0,1
115,https://eoimages.gsfc.nasa.gov/images/imagerecords/92000/92517/californiafires_amo_tmo_2018209_2018210_th.jpg,0,0,0,0,0,0,0,0,0,1
116,https://eoimages.gsfc.nasa.gov/images/imagerecords/92000/92517/californiafires_amo_tmo_2018209_2018210_th.jpg,0,0,0,0,0,0,0,0,0,1
117,https://eoimages.gsfc.nasa.gov/images/imagerecords/89000/89974/rimfire_vir_2013263_th.png,0,0,0,0,0,0,0,0,0,1
118,https://eoimages.gsfc.nasa.gov/images/imagerecords/50000/50952/Arizona_tmo_2011160_tn.jpg,0,0,0,0,0,0,0,0,0,1
119,https://eoimages.gsfc.nasa.gov/images/imagerecords/86000/86194/lakefire_ali_2015184_tn.jpg,0,0,0,0,0,0,0,0,0,1
120,https://eoimages.gsfc.nasa.gov/images/imagerecords/50000/50885/Wallow_amo_2011157_tn.jpg,0,0,0,0,0,0,0,0,0,1
121,https://eoimages.gsfc.nasa.gov/images/imagerecords/92000/92517/californiafires_amo_tmo_2018209_20182100.gif,0,0,0,0,0,0,0,0,0,1
122,https://eoimages.gsfc.nasa.gov/images/imagerecords/92000/92490/denmarkdrought_tmo_2018205_th.jpg,0,0,0,0,0,0,0,0,0,1
123,https://eoimages.gsfc.nasa.gov/images/imagerecords/92000/92522/arabianpeninsuladust_viirs_2018209_2018211_th.jpg,0,0,0,0,0,0,0,0,0,1
124,https://eoimages.gsfc.nasa.gov/images/imagerecords/92000/92343/pawnee_oli_2018175_th.jpg,0,0,0,0,0,0,0,0,0,1
125,https://eoimages.gsfc.nasa.gov/images/imagerecords/92000/92373/california_vir_2018182_th.jpg,0,0,0,0,0,0,0,0,0,1
126,https://eoimages.gsfc.nasa.gov/images/imagerecords/92000/92514/perry_oli_2018210_th.jpg,0,0,0,0,0,0,0,0,0,1
127,https://eoimages.gsfc.nasa.gov/images/imagerecords/92000/92517/californiafires_amo_tmo_2018209_2018210_th.jpg,0,0,0,0,0,0,0,0,0,1
128,https://eoimages.gsfc.nasa.gov/images/imagerecords/92000/92514/perry_oli_2018210_th.jpg,0,0,0,0,0,0,0,0,0,1
129,https://eoimages.gsfc.nasa.gov/images/imagerecords/86000/86366/california_amo_2015217_tn.jpg,0,0,0,0,0,0,0,0,0,1
130,https://eoimages.gsfc.nasa.gov/images/imagerecords/90000/90907/westernfires_oli_2017247_th.jpg,0,0,0,0,0,0,0,0,0,1
131,https://eoimages.gsfc.nasa.gov/images/imagerecords/90000/90695/pacificnw_vir_2017214_tn.jpg,0,0,0,0,0,0,0,0,0,1
132,https://eoimages.gsfc.nasa.gov/images/imagerecords/88000/88278/erskine_amo_2016178_tn.jpg,0,0,0,0,0,0,0,0,0,1
133,https://eoimages.gsfc.nasa.gov/images/imagerecords/92000/92511/typhoonjongdari_viirs_2018208.jpg,0,0,0,0,1,0,0,0,0,0
134,https://eoimages.gsfc.nasa.gov/images/imagerecords/92000/92573/typhshanshan_viirs_2018219_th.jpg,0,0,0,0,1,0,0,0,0,0
135,https://eoimages.gsfc.nasa.gov/images/imagerecords/52000/52224/Roke_amo_2011263_tn.jpg,0,0,0,0,1,0,0,0,0,0
136,https://eoimages.gsfc.nasa.gov/images/imagerecords/88000/88616/mindullelionrock_vir_2016235_tn.jpg,0,0,0,0,1,0,0,0,0,0
137,https://eoimages.gsfc.nasa.gov/images/imagerecords/83000/83980/neoguri_vir_2014188_tn.jpg,0,0,0,0,1,0,0,0,0,0
138,https://eoimages.gsfc.nasa.gov/images/imagerecords/86000/86478/typhoons_vir_2015236_tn.jpg,0,0,0,0,1,0,0,0,0,0
139,https://eoimages.gsfc.nasa.gov/images/imagerecords/92000/92417/Chris_vir_2018191.jpg,0,0,0,0,1,0,0,0,0,0
140,https://eoimages.gsfc.nasa.gov/images/imagerecords/92000/92417/Chris_vir_2018191_tn.jpg,0,0,0,0,1,0,0,0,0,0
141,https://eoimages.gsfc.nasa.gov/images/imagerecords/92000/92734/mainessta_crw_2018220_th.jpg,0,0,0,0,1,0,0,0,0,0
142,https://eoimages.gsfc.nasa.gov/images/imagerecords/88000/88851/matthew_vir_2016273_tn.jpg,0,0,0,0,1,0,0,0,0,0
143,https://eoimages.gsfc.nasa.gov/images/imagerecords/90000/90724/franklin_vir_2017222_tn.jpg,0,0,0,0,1,0,0,0,0,0
144,https://eoimages.gsfc.nasa.gov/images/imagerecords/90000/90998/atlantic_goe_2017262_th.jpg,0,0,0,0,1,0,0,0,0,0
145,https://eoimages.gsfc.nasa.gov/images/imagerecords/79000/79135/michael_tmo_2012251_tn.jpg,0,0,0,0,1,0,0,0,0,0
146,https://eoimages.gsfc.nasa.gov/images/imagerecords/92000/92732/atlantic_vir_2018252_th.jpg,0,0,0,0,1,0,0,0,0,0
147,https://eoimages.gsfc.nasa.gov/images/imagerecords/92000/92409/typhoonmaria_amo_2018191.jpg,0,0,0,0,1,0,0,0,0,0
148,https://eoimages.gsfc.nasa.gov/images/imagerecords/92000/92397/japan_mrg_2018190_th.jpg,0,0,0,0,1,0,0,0,0,0
149,https://eoimages.gsfc.nasa.gov/images/imagerecords/92000/92401/southdakota_oli_2018189_th.jpg,0,0,0,0,1,0,0,0,0,0
150,https://eoimages.gsfc.nasa.gov/images/imagerecords/50000/50741/songda_amo_2011147_tn.jpg,0,0,0,0,1,0,0,0,0,0
151,https://eoimages.gsfc.nasa.gov/images/imagerecords/81000/81627/Soulik_amo_2013193_tn.jpg,0,0,0,0,1,0,0,0,0,0
152,https://eoimages.gsfc.nasa.gov/images/imagerecords/40000/40615/ParmaMelor_AMO_TMO_2009279_tn.jpg,0,0,0,0,1,0,0,0,0,0
153,https://eoimages.gsfc.nasa.gov/images/imagerecords/46000/46459/megi_amo_2010293_tn.jpg,0,0,0,0,1,0,0,0,0,0
154,https://eoimages.gsfc.nasa.gov/images/imagerecords/46000/46475/megi_tmo_2010294_tn.jpg,0,0,0,0,1,0,0,0,0,0
155,https://eoimages.gsfc.nasa.gov/images/imagerecords/92000/92583/australia_smp_2018209.png,0,0,0,0,0,0,0,0,0,0
156,https://eoimages.gsfc.nasa.gov/images/imagerecords/92000/92570/ranchfire_oli_2018216_th.jpg,0,0,0,0,0,0,0,0,0,0
157,https://eoimages.gsfc.nasa.gov/images/imagerecords/92000/92588/andessnow_tmo_2018211_th.jpg,0,0,0,0,0,0,0,0,0,0
158,https://eoimages.gsfc.nasa.gov/images/imagerecords/87000/87036/usa_smp_2015147-151_th.png,0,0,0,0,0,0,0,0,0,0
159,https://eoimages.gsfc.nasa.gov/images/imagerecords/92000/92228/conus_smp_2018138_th.png,0,0,0,0,0,0,0,0,0,0
160,https://eoimages.gsfc.nasa.gov/images/imagerecords/84000/84017/soil_moisture_aquarius_tn.jpg,0,0,0,0,0,0,0,0,0,0
161,https://eoimages.gsfc.nasa.gov/images/imagerecords/86000/86967/soilmoisture_smp_2015147-151_th.png,0,0,0,0,0,0,0,0,0,0
162,https://eoimages.gsfc.nasa.gov/images/imagerecords/92000/92274/conus_smp_2018183_th.png,0,0,0,0,0,0,0,0,0,0
163,https://eoimages.gsfc.nasa.gov/images/imagerecords/92000/92373/california_vir_2018182.jpg,0,0,0,0,0,0,0,0,0,1
164,https://eoimages.gsfc.nasa.gov/images/imagerecords/92000/92373/california_amo_2018182.jpg,0,0,0,0,0,0,0,0,0,1
165,https://eoimages.gsfc.nasa.gov/images/imagerecords/92000/92373/california_vir_2018182.jpg,0,0,0,0,0,0,0,0,0,1
166,https://eoimages.gsfc.nasa.gov/images/imagerecords/92000/92373/california_amo_2018182.jpg,0,0,0,0,0,0,0,0,0,1
167,https://eoimages.gsfc.nasa.gov/images/imagerecords/92000/92382/colonialpark_oli_2016161_th.jpg,0,0,0,0,0,0,0,0,0,1
168,https://eoimages.gsfc.nasa.gov/images/imagerecords/92000/92377/indlakes__oli_201798_th.jpg,0,0,0,0,0,0,0,0,0,1
169,https://eoimages.gsfc.nasa.gov/images/imagerecords/92000/92343/pawnee_oli_2018175_th.jpg,0,0,0,0,0,0,0,0,0,1
170,https://eoimages.gsfc.nasa.gov/images/imagerecords/92000/92373/california_vir_2018182_th.jpg,0,0,0,0,0,0,0,0,0,1
171,https://eoimages.gsfc.nasa.gov/images/imagerecords/92000/92514/perry_oli_2018210_th.jpg,0,0,0,0,0,0,0,0,0,1
172,https://eoimages.gsfc.nasa.gov/images/imagerecords/92000/92517/californiafires_amo_tmo_2018209_2018210_th.jpg,0,0,0,0,0,0,0,0,0,1
173,https://eoimages.gsfc.nasa.gov/images/imagerecords/88000/88278/erskine_amo_2016178_tn.jpg,0,0,0,0,0,0,0,0,0,1
174,https://eoimages.gsfc.nasa.gov/images/imagerecords/91000/91440/california_vir_2017348_tn.jpg,0,0,0,0,0,0,0,0,0,1
175,https://eoimages.gsfc.nasa.gov/images/imagerecords/92000/92343/pawnee_oli_2018175_th.jpg,0,0,0,0,0,0,0,0,0,1
176,https://eoimages.gsfc.nasa.gov/images/imagerecords/50000/50952/Arizona_tmo_2011160_tn.jpg,0,0,0,0,0,0,0,0,0,1
177,https://eoimages.gsfc.nasa.gov/images/imagerecords/92000/92722/delta_vir_2018249_th.jpg,0,0,0,0,0,0,0,0,0,1
178,https://eoimages.gsfc.nasa.gov/images/imagerecords/92000/92415/springfire_oli_2018187.jpg,0,0,0,0,0,0,0,0,0,1
179,https://eoimages.gsfc.nasa.gov/images/imagerecords/92000/92401/southdakota_oli_2018189_th.jpg,0,0,0,0,0,0,0,0,0,1
180,https://eoimages.gsfc.nasa.gov/images/imagerecords/92000/92412/chukchi_oli_2018169_th.jpg,0,0,0,0,0,0,0,0,0,1
181,https://eoimages.gsfc.nasa.gov/images/imagerecords/92000/92284/colfire_amo_2018162_th.jpg,0,0,0,0,0,0,0,0,0,1
182,https://eoimages.gsfc.nasa.gov/images/imagerecords/92000/92415/springfire_oli_2018187_th.jpg,0,0,0,0,0,0,0,0,0,1
183,https://eoimages.gsfc.nasa.gov/images/imagerecords/78000/78367/colorado_amo_2012175_tn.jpg,0,0,0,0,0,0,0,0,0,1
184,https://eoimages.gsfc.nasa.gov/images/imagerecords/50000/50952/Arizona_tmo_2011160_tn.jpg,0,0,0,0,0,0,0,0,0,1
185,https://eoimages.gsfc.nasa.gov/images/imagerecords/88000/88278/erskine_amo_2016178_tn.jpg,0,0,0,0,0,0,0,0,0,1
186,https://eoimages.gsfc.nasa.gov/images/imagerecords/92000/92343/pawnee_oli_2018175_th.jpg,0,0,0,0,0,0,0,0,0,1
